"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
683,233,0.785677819302683,0.997916486245221,"Zipf Markov control",2,2002,"strict equifinality"
798,258,0.785677819302683,0.997916486245221,"Zipf Markov control",2,2002,"strict equifinality"
933,296,0.815702479517258,0.998438807096875,"Zipf Markov control",2,2002,"strict equifinality"
1090,337,0.829170334379444,0.999012865370857,"Zipf Markov control",2,2002,"strict equifinality"
1274,386,0.819526061574894,0.997885248740186,"Zipf Markov control",2,2002,"strict equifinality"
1488,441,0.796378829272118,0.997999678619104,"Zipf Markov control",2,2002,"strict equifinality"
1739,498,0.780713362473138,0.998430731076845,"Zipf Markov control",2,2002,"strict equifinality"
2033,549,0.760033188627921,0.999031695087165,"Zipf Markov control",2,2002,"strict equifinality"
2375,625,0.742988432638288,0.999182387167586,"Zipf Markov control",2,2002,"strict equifinality"
2776,707,0.733767729805518,0.998903981398954,"Zipf Markov control",2,2002,"strict equifinality"
3244,789,0.728994797295608,0.998693330092288,"Zipf Markov control",2,2002,"strict equifinality"
3791,879,0.711659544230419,0.999690195458747,"Zipf Markov control",2,2002,"strict equifinality"
4431,979,0.707383412498197,0.999877037929042,"Zipf Markov control",2,2002,"strict equifinality"
5178,1093,0.708997384286655,0.999895842103691,"Zipf Markov control",2,2002,"strict equifinality"
6051,1225,0.705050718063665,0.999755560865573,"Zipf Markov control",2,2002,"strict equifinality"
7071,1372,0.70103314482043,0.999700547969494,"Zipf Markov control",2,2002,"strict equifinality"
8263,1526,0.680059471788219,0.998753608182926,"Zipf Markov control",2,2002,"strict equifinality"
9657,1690,0.653534909681899,0.998302153922898,"Zipf Markov control",2,2002,"strict equifinality"
11285,1886,0.625938176125211,0.998179858004169,"Zipf Markov control",2,2002,"strict equifinality"
13188,2056,0.596737017206112,0.997557338465329,"Zipf Markov control",2,2002,"strict equifinality"
15412,2255,0.572456634120948,0.998212259872849,"Zipf Markov control",2,2002,"strict equifinality"
18011,2462,0.543401972296239,0.998942273117935,"Zipf Markov control",2,2002,"strict equifinality"
21049,2665,0.523985362895327,0.998099830501038,"Zipf Markov control",2,2002,"strict equifinality"
24598,2906,0.492381553664075,0.996640014855637,"Zipf Markov control",2,2002,"strict equifinality"
28746,3122,0.460625205377407,0.995285034050677,"Zipf Markov control",2,2002,"strict equifinality"
33594,3356,0.427127206604329,0.993556950308861,"Zipf Markov control",2,2002,"strict equifinality"
39259,3561,0.387482237491902,0.993926905214991,"Zipf Markov control",2,2002,"strict equifinality"
45879,3780,0.348836485089264,0.989717228526399,"Zipf Markov control",2,2002,"strict equifinality"
53616,3984,0.307693083738441,0.986772090590075,"Zipf Markov control",2,2002,"strict equifinality"
