"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
0.964333654357294,0.998781642379072,991,1000,4609,100000,1000,"Zipf Markov control",8,2008,"strict equifinality"
0.954163737793148,0.998383634858938,1991,2000,4609,100000,2000,"Zipf Markov control",8,2008,"strict equifinality"
0.958800869224517,0.998121947212345,2587,2596,4609,100000,3000,"Zipf Markov control",8,2008,"strict equifinality"
0.967469955244082,0.998791482238426,291,300,4711,100000,300,"latent mixture",8,2008,"strict equifinality"
0.979458501524242,0.999071445438448,491,500,4711,100000,500,"latent mixture",8,2008,"strict equifinality"
1.00224917162811,0.998872712340648,991,1000,4711,100000,1000,"latent mixture",8,2008,"strict equifinality"
1.03031605988324,0.997801023459847,1991,2000,4711,100000,2000,"latent mixture",8,2008,"strict equifinality"
1.02939707907902,0.997929792252699,2203,2212,4711,100000,3000,"latent mixture",8,2008,"strict equifinality"
0.989177961695344,0.999354956556741,291,300,5026,100000,300,"sample-space reduction",8,2008,"strict equifinality"
0.99398417323245,0.999558217680127,491,500,5026,100000,500,"sample-space reduction",8,2008,"strict equifinality"
0.987334217412422,0.999482999167785,991,1000,5026,100000,1000,"sample-space reduction",8,2008,"strict equifinality"
0.984270191864525,0.998965889141729,1991,2000,5026,100000,2000,"sample-space reduction",8,2008,"strict equifinality"
0.976038001257811,0.998235425582123,2602,2611,5026,100000,3000,"sample-space reduction",8,2008,"strict equifinality"
0.998181342260988,0.999259151035586,291,300,4843,100000,300,"finite Zipf reference",9,2009,"strict equifinality"
0.981986721305212,0.999075085424604,491,500,4843,100000,500,"finite Zipf reference",9,2009,"strict equifinality"
0.974703245641699,0.999290621939797,991,1000,4843,100000,1000,"finite Zipf reference",9,2009,"strict equifinality"
0.980164884668519,0.998815403038724,1991,2000,4843,100000,2000,"finite Zipf reference",9,2009,"strict equifinality"
0.972143880998944,0.998102149150618,2632,2641,4843,100000,3000,"finite Zipf reference",9,2009,"strict equifinality"
0.999824157896242,0.99919682196868,291,300,4613,100000,300,"Zipf Markov control",9,2009,"strict equifinality"
0.98875925721333,0.999280240530223,491,500,4613,100000,500,"Zipf Markov control",9,2009,"strict equifinality"
0.974117510509255,0.9992417755499,991,1000,4613,100000,1000,"Zipf Markov control",9,2009,"strict equifinality"
0.955118060455094,0.998388775283552,1991,2000,4613,100000,2000,"Zipf Markov control",9,2009,"strict equifinality"
0.960170481832869,0.998098898246084,2596,2605,4613,100000,3000,"Zipf Markov control",9,2009,"strict equifinality"
0.955569433272751,0.999146777153951,291,300,4712,100000,300,"latent mixture",9,2009,"strict equifinality"
0.97180341798246,0.999189605953674,491,500,4712,100000,500,"latent mixture",9,2009,"strict equifinality"
0.980457394621503,0.999323871353379,991,1000,4712,100000,1000,"latent mixture",9,2009,"strict equifinality"
1.00280992522601,0.998120999472982,1991,2000,4712,100000,2000,"latent mixture",9,2009,"strict equifinality"
1.00179145280797,0.998179363112762,2257,2266,4712,100000,3000,"latent mixture",9,2009,"strict equifinality"
0.990180486778014,0.999201212070038,291,300,5033,100000,300,"sample-space reduction",9,2009,"strict equifinality"
0.995566568241598,0.999326779692702,491,500,5033,100000,500,"sample-space reduction",9,2009,"strict equifinality"
0.988233558439722,0.99926123159433,991,1000,5033,100000,1000,"sample-space reduction",9,2009,"strict equifinality"
0.978212905310926,0.998750589029717,1991,2000,5033,100000,2000,"sample-space reduction",9,2009,"strict equifinality"
0.967794434140083,0.997958515000044,2643,2652,5033,100000,3000,"sample-space reduction",9,2009,"strict equifinality"
1.00341044932146,0.999427777305603,291,300,4855,100000,300,"finite Zipf reference",10,2010,"strict equifinality"
0.985861217904567,0.999251192889552,491,500,4855,100000,500,"finite Zipf reference",10,2010,"strict equifinality"
0.989386585520283,0.999266195280098,991,1000,4855,100000,1000,"finite Zipf reference",10,2010,"strict equifinality"
0.976291283365142,0.998674562626783,1991,2000,4855,100000,2000,"finite Zipf reference",10,2010,"strict equifinality"
0.968171214895819,0.99808964238885,2615,2624,4855,100000,3000,"finite Zipf reference",10,2010,"strict equifinality"
0.984738839681301,0.999034039285248,291,300,4593,100000,300,"Zipf Markov control",10,2010,"strict equifinality"
0.978589182993188,0.999322336566516,491,500,4593,100000,500,"Zipf Markov control",10,2010,"strict equifinality"
0.96229291488272,0.999197033098567,991,1000,4593,100000,1000,"Zipf Markov control",10,2010,"strict equifinality"
0.956974604770616,0.998556480086741,1991,2000,4593,100000,2000,"Zipf Markov control",10,2010,"strict equifinality"
0.966627635449424,0.997972071277922,2580,2589,4593,100000,3000,"Zipf Markov control",10,2010,"strict equifinality"
1.00142253136279,0.9991174233694,291,300,4832,100000,300,"latent mixture",10,2010,"strict equifinality"
0.985673047401253,0.99901090932809,491,500,4832,100000,500,"latent mixture",10,2010,"strict equifinality"
0.946003668819763,0.997624275364239,991,1000,4832,100000,1000,"latent mixture",10,2010,"strict equifinality"
0.917958609137612,0.997278255116825,1991,2000,4832,100000,2000,"latent mixture",10,2010,"strict equifinality"
0.924453035272326,0.997198466722313,2768,2777,4832,100000,3000,"latent mixture",10,2010,"strict equifinality"
0.990304196518335,0.999462721227576,291,300,5026,100000,300,"sample-space reduction",10,2010,"strict equifinality"
0.994621444225479,0.999523696155482,491,500,5026,100000,500,"sample-space reduction",10,2010,"strict equifinality"
0.996136028109001,0.999482309235406,991,1000,5026,100000,1000,"sample-space reduction",10,2010,"strict equifinality"
0.977290539234103,0.998586370405573,1991,2000,5026,100000,2000,"sample-space reduction",10,2010,"strict equifinality"
0.968473621796685,0.997951519503828,2619,2628,5026,100000,3000,"sample-space reduction",10,2010,"strict equifinality"
1.00107333274159,0.999120690614522,291,300,4847,100000,300,"finite Zipf reference",11,2011,"strict equifinality"
0.990817109168799,0.999305896693579,491,500,4847,100000,500,"finite Zipf reference",11,2011,"strict equifinality"
0.986806979141963,0.9994031827158,991,1000,4847,100000,1000,"finite Zipf reference",11,2011,"strict equifinality"
0.982728820739449,0.998880452826365,1991,2000,4847,100000,2000,"finite Zipf reference",11,2011,"strict equifinality"
0.974995722878797,0.998179116750897,2615,2624,4847,100000,3000,"finite Zipf reference",11,2011,"strict equifinality"
0.980149085626285,0.99833442322771,291,300,4625,100000,300,"Zipf Markov control",11,2011,"strict equifinality"
0.980046053950951,0.999012393381744,491,500,4625,100000,500,"Zipf Markov control",11,2011,"strict equifinality"
0.969916180956402,0.999163150824563,991,1000,4625,100000,1000,"Zipf Markov control",11,2011,"strict equifinality"
0.955634834542882,0.998451589813362,1991,2000,4625,100000,2000,"Zipf Markov control",11,2011,"strict equifinality"
0.960447285704236,0.998164310844919,2580,2589,4625,100000,3000,"Zipf Markov control",11,2011,"strict equifinality"
0.974937901383865,0.999466996690789,291,300,4793,100000,300,"latent mixture",11,2011,"strict equifinality"
0.990809675035193,0.999289730312661,491,500,4793,100000,500,"latent mixture",11,2011,"strict equifinality"
0.986650258638034,0.999357973808444,991,1000,4793,100000,1000,"latent mixture",11,2011,"strict equifinality"
0.98130061466844,0.998686411136755,1991,2000,4793,100000,2000,"latent mixture",11,2011,"strict equifinality"
0.980650582631525,0.998380075429462,2398,2407,4793,100000,3000,"latent mixture",11,2011,"strict equifinality"
0.998405416932874,0.999398147400216,291,300,5014,100000,300,"sample-space reduction",11,2011,"strict equifinality"
0.996413017622323,0.999542439342837,491,500,5014,100000,500,"sample-space reduction",11,2011,"strict equifinality"
0.988923812993132,0.999425870042349,991,1000,5014,100000,1000,"sample-space reduction",11,2011,"strict equifinality"
0.980626986154342,0.998869646526893,1991,2000,5014,100000,2000,"sample-space reduction",11,2011,"strict equifinality"
0.97439837933701,0.998250601810192,2581,2590,5014,100000,3000,"sample-space reduction",11,2011,"strict equifinality"
0.990687626250784,0.999253685650546,291,300,4864,100000,300,"finite Zipf reference",12,2012,"strict equifinality"
0.99510675958099,0.999491284235409,491,500,4864,100000,500,"finite Zipf reference",12,2012,"strict equifinality"
0.990205066649344,0.999459970324945,991,1000,4864,100000,1000,"finite Zipf reference",12,2012,"strict equifinality"
0.980852138730824,0.998858649588648,1991,2000,4864,100000,2000,"finite Zipf reference",12,2012,"strict equifinality"
0.971977900681563,0.998158822124393,2623,2632,4864,100000,3000,"finite Zipf reference",12,2012,"strict equifinality"
0.996074272127204,0.99895386248062,291,300,4595,100000,300,"Zipf Markov control",12,2012,"strict equifinality"
0.992764349218981,0.999335270831842,491,500,4595,100000,500,"Zipf Markov control",12,2012,"strict equifinality"
