"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
798,34,0.880671366940932,0.967143250481382,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
933,38,0.96988097604073,0.991111556505833,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
1090,46,0.96105937877228,0.990980265767174,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
1274,50,0.936021008420062,0.994434952089813,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
1488,59,0.976535804766405,0.99526543848228,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
1739,69,1.01065422636895,0.993605033348259,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
2033,82,1.07368843490281,0.999574166786205,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
2375,96,1.08054208608381,0.999635510959645,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
2776,116,1.10672284396919,0.999370176047716,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
3244,136,1.09317066899769,0.9988848249333,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
3791,161,1.07544808976137,0.998258868944377,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
4431,196,1.05864052297231,0.998687871794613,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
5178,224,1.0500294472905,0.998612727421148,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
6051,262,1.02263396466912,0.99851190637147,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
7071,313,0.988305707304726,0.998787810205888,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
8263,365,0.985194062735562,0.998667188372117,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
9657,421,0.981699926014319,0.998820012854791,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
11285,485,0.971258450069665,0.999240140728526,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
13188,564,0.980335322997743,0.999282090192089,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
15412,671,0.995368969059718,0.999596904396562,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
18011,777,1.01320108199636,0.999663160532757,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
21049,906,1.01161636661032,0.999649556831924,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
24598,1061,1.01515809535898,0.999548102447378,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
28746,1257,1.02111211033587,0.999726090332371,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
33594,1457,1.01880872817421,0.999692154406682,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
39259,1732,1.02088505863984,0.999662984422113,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
45879,2004,1.02169690198929,0.999649294680257,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
53616,2345,1.03022111350235,0.999725040007963,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
62657,2779,1.0285833470827,0.999734633358141,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
73223,3265,1.0285833470827,0.999734633358141,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
85570,3831,1.0285833470827,0.999734633358141,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
100000,4495,1.0285833470827,0.999734633358141,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
