"vocabulary_size","persistence","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
6300,0.35,"coarse",0.983834884199201,0.00675235002764849,0.0161651158007993,0.0173880929563752,5494.4,17.2961138859443,10.2968565125155
6400,0.35,"coarse",0.981106729710458,0.00545687691540581,0.0188932702895421,0.0195896762948395,5563.8,17.818841463774,13.2550351272627
6500,0.35,"coarse",0.982800006300184,0.00686588001243131,0.0171999936998163,0.0183920107868692,5623.9,14.3096703898681,15.8364669633477
6600,0.35,"coarse",0.983813605619497,0.00802247996096498,0.0161863943805034,0.0178864062710447,5687.6,22.1570154428193,18.8663540067743
6700,0.35,"coarse",0.983140897311037,0.00640019059155589,0.0168591026889631,0.0179191389057739,5744,20.1825006709608,21.8355015475642
6800,0.35,"coarse",0.983319449136046,0.00614922381001613,0.0166805508639539,0.0176712318541763,5805.6,23.9824009547742,25.2406242653516
6900,0.35,"coarse",0.981504451700833,0.00402879134446747,0.0184955482991671,0.0188863270811017,5870.9,29.3160934186896,29.1948198882183
7000,0.35,"coarse",0.983676364401876,0.00597483976117317,0.0163236355981238,0.0172797545785482,5928.9,24.7855244492067,32.6890353207856
7100,0.35,"coarse",0.978584241602899,0.00498748521574181,0.0214157583971006,0.0219322186662113,5990.8,24.3575222239227,37.0493224826147
7200,0.35,"coarse",0.979804728940926,0.00631917521905586,0.0201952710590739,0.0210662704590463,6055.2,32.2104192942456,41.3907770727297
7300,0.35,"coarse",0.983024449832167,0.00684134363577063,0.0169755501678328,0.0181739618126879,6114.4,31.0597989547761,45.4443531514465
7400,0.35,"coarse",0.981257907295025,0.00713102712907982,0.0187420927049754,0.0199256726884188,6165.3,26.4283097370141,49.3284509200261
7500,0.35,"coarse",0.985775785031592,0.00929036478582152,0.0142242149684084,0.0167334420110079,6222,25.9186762350583,53.4452218863837
