"top_k","transition_nmi","surrogate_nmi","transition_nmi_excess","transition_nmi_z","generator","replicate","seed","benchmark"
25,0.178362492435846,0.00189755972363985,0.176464932712207,1150.06573444113,"Zipf Markov control",20,2020,"strict equifinality"
50,0.194885353627827,0.00620523144334479,0.188680122184482,1128.96777001736,"Zipf Markov control",20,2020,"strict equifinality"
100,0.215610601303953,0.017833066600444,0.197777534703509,776.8214513882,"Zipf Markov control",20,2020,"strict equifinality"
25,0.215769424872416,0.216598133720419,-0.000828708848002818,-1.01098678937824,"latent mixture",20,2020,"strict equifinality"
50,0.204472638291622,0.206112918752521,-0.00164028046089892,-2.26932353955578,"latent mixture",20,2020,"strict equifinality"
100,0.201922948069856,0.203279499373942,-0.00135655130408621,-2.10895469768121,"latent mixture",20,2020,"strict equifinality"
25,0.391990831389006,0.0132109268672025,0.378779904521804,3501.11013725789,"sample-space reduction",20,2020,"strict equifinality"
50,0.365831767480365,0.0156443485015113,0.350187418978854,2249.29315866955,"sample-space reduction",20,2020,"strict equifinality"
100,0.346958736494543,0.0264696091949003,0.320489127299643,1809.00337502736,"sample-space reduction",20,2020,"strict equifinality"
25,0.00169515557436508,0.00182083355410256,-0.000125677979737481,-1.16810010932799,"finite Zipf reference",21,2021,"strict equifinality"
50,0.00591563119274358,0.00608439720544195,-0.000168766012698375,-1.1144355259108,"finite Zipf reference",21,2021,"strict equifinality"
100,0.0176561539760208,0.0176848383009357,-2.86843249149675e-05,-0.148724683024469,"finite Zipf reference",21,2021,"strict equifinality"
25,0.175804635453812,0.00190552597213352,0.173899109481678,1897.72218866673,"Zipf Markov control",21,2021,"strict equifinality"
50,0.195164701382829,0.00614685743017605,0.189017843952653,994.943494219538,"Zipf Markov control",21,2021,"strict equifinality"
100,0.21634207975232,0.0176845884397337,0.198657491312586,1092.77404769065,"Zipf Markov control",21,2021,"strict equifinality"
25,0.213602445635266,0.213735541477316,-0.000133095842050374,-0.212476181851347,"latent mixture",21,2021,"strict equifinality"
50,0.203818540657222,0.203599449854408,0.000219090802814625,0.385702407958436,"latent mixture",21,2021,"strict equifinality"
100,0.199001281620601,0.199167235029928,-0.000165953409327207,-0.305154434539009,"latent mixture",21,2021,"strict equifinality"
25,0.39266587173301,0.013341718622473,0.379324153110537,3115.88190493694,"sample-space reduction",21,2021,"strict equifinality"
50,0.36590433278174,0.0157376972011182,0.350166635580622,1981.18094696256,"sample-space reduction",21,2021,"strict equifinality"
100,0.346400306717078,0.0265002908204246,0.319900015896654,1528.74249823862,"sample-space reduction",21,2021,"strict equifinality"
25,0.00200589522814523,0.00180049692043116,0.000205398307714068,2.24448858715674,"finite Zipf reference",22,2022,"strict equifinality"
50,0.00610485794781354,0.00603288243040198,7.19755174115582e-05,0.47534477306769,"finite Zipf reference",22,2022,"strict equifinality"
100,0.0177118307920333,0.0176073253715589,0.000104505420474427,0.504743806951927,"finite Zipf reference",22,2022,"strict equifinality"
25,0.178481318602945,0.00184327356861185,0.176638045034333,1620.49991722727,"Zipf Markov control",22,2022,"strict equifinality"
50,0.196046943468646,0.00616179797040466,0.189885145498242,1056.33753334678,"Zipf Markov control",22,2022,"strict equifinality"
100,0.215297248207593,0.0178626323917498,0.197434615815843,1066.95654243197,"Zipf Markov control",22,2022,"strict equifinality"
